"Question","Scenario","term","estimate","OR","CI","OR_low","OR_high","p.value","q_value","Status"
"E","IoTSimple","EXPLN_S3Prevents",0.0299094615597796,1.03036124243059,"[0.459, 2.308]",0.459158437471177,2.3075328702406,0.941684067348824,1,""
"E","IoTSimple","combined_IoT_ExperienceTRUE",-0.568189568735133,0.566550210994833,"[0.129, 1.752]",0.129213307708374,1.75185838323683,0.376659656244853,0.412754543490796,""
"E","IoTSimple","combined_CS_ExperienceTRUE",-1.00111686056719,0.367468800486996,"[0.161, 0.868]",0.161019267692768,0.867655358515065,0.0187982636788618,0.0751930547154471,"Lost significance"
"E","IoTComplex","EXPLN_S1Hardware",-0.349435550293989,0.705085962982944,"[0.290, 1.668]",0.290228774890766,1.6684418490568,0.429489009739705,1,""
"E","IoTComplex","EXPLN_S1Trust",-0.22312954486089,0.800011205241128,"[0.327, 1.927]",0.3268177849705,1.92728367095379,0.618709821337962,1,""
"E","IoTComplex","EXPLN_S2Untechnical",0.0204983767420482,1.02070991136637,"[0.500, 2.080]",0.500273218090482,2.07956421058791,0.954772094426024,1,""
"E","IoTComplex","EXPLN_S3Prevents",0.154182734729323,1.1667040646518,"[0.579, 2.371]",0.578882382356832,2.37077901508697,0.666347791895789,1,""
"E","IoTComplex","combined_IoT_ExperienceTRUE",-0.646146775048331,0.524061217052695,"[0.171, 1.322]",0.171047175666296,1.32155308891876,0.206377271745398,0.412754543490796,""
"E","IoTComplex","combined_CS_ExperienceTRUE",0.0719653844437374,1.07461814491513,"[0.475, 2.680]",0.474523076391046,2.67989927162932,0.869045433693846,1,""
"F","MedicalSimple","EXPLN_S1Hardware",-0.762155409360924,0.466659499975151,"[0.203, 1.032]",0.203341935717527,1.03212816784232,0.0639797279107816,0.255918911643127,""
"F","MedicalSimple","EXPLN_S1Trust",-0.346149566198295,0.707406675066709,"[0.292, 1.698]",0.292365758374955,1.69849861529427,0.436590520859912,1,""
"F","MedicalSimple","EXPLN_S2Untechnical",-0.121918739376286,0.885220299133655,"[0.449, 1.745]",0.449368851860954,1.74459700534323,0.72333913297572,1,""
"F","MedicalSimple","EXPLN_S3Prevents",-0.296098940364826,0.743713841061118,"[0.382, 1.435]",0.381647067660217,1.43499038154198,0.37861598558572,0.757231971171439,""
"F","MedicalSimple","combined_Medical_ExperienceTRUE",0.019704788026184,1.01990020882643,"[0.489, 2.237]",0.489337488002542,2.237283192287,0.95918216206607,1,""
"F","MedicalSimple","combined_CS_ExperienceTRUE",0.0826776926711281,1.08619166459023,"[0.471, 2.750]",0.47096028151086,2.74985690114107,0.85263441233577,1,""
"F","MedicalComplex","EXPLN_S1Hardware",0.623370423391066,1.86520398675555,"[0.721, 5.000]",0.720775627344981,5.00026645503268,0.202177221085209,0.606531663255628,""
"F","MedicalComplex","EXPLN_S1Trust",0.487744894974359,1.62863932289708,"[0.652, 4.158]",0.651598851105422,4.15822301654539,0.297108436563286,1,""
"F","MedicalComplex","EXPLN_S2Untechnical",-0.471430530029242,0.624108822972115,"[0.274, 1.372]",0.273852282546578,1.37176976234211,0.24761649623125,0.742849488693749,""
"F","MedicalComplex","EXPLN_S3Prevents",0.559971740352421,1.75062302760726,"[0.810, 3.917]",0.810343655079832,3.91720889823908,0.160036346000334,0.480109038001003,""
"F","MedicalComplex","combined_Medical_ExperienceTRUE",-0.0503267116708703,0.950918697507886,"[0.394, 2.552]",0.394252057457476,2.55157638702835,0.91471317934707,1,""
"F","MedicalComplex","combined_CS_ExperienceTRUE",0.244163065580094,1.27655247528827,"[0.517, 3.636]",0.516522290434155,3.63609156521603,0.61823662962195,1,""
"F","IoTSimple","EXPLN_S1Hardware",-0.0982874618359735,0.906388314252027,"[0.401, 2.041]",0.400598987316929,2.04062144117068,0.811732317859156,0.811732317859156,""
"F","IoTSimple","EXPLN_S1Trust",-0.340344850579347,0.711524910672126,"[0.325, 1.535]",0.324850783709899,1.53531487011739,0.387478647763954,1,""
"F","IoTSimple","EXPLN_S2Untechnical",-0.141639507265943,0.867934084027431,"[0.440, 1.710]",0.439789795117298,1.70982635929371,0.681352073706492,1,""
"F","IoTSimple","EXPLN_S3Prevents",-0.529117305367113,0.589124757499191,"[0.300, 1.134]",0.300285539350928,1.13435465881203,0.117020326059781,0.468081304239124,""
"F","IoTSimple","combined_IoT_ExperienceTRUE",-0.507521279858992,0.601985885561689,"[0.214, 1.453]",0.214433393356328,1.45317539562733,0.290746207285083,0.581492414570167,""
"F","IoTSimple","combined_CS_ExperienceTRUE",-0.0548673288126349,0.946610727592102,"[0.438, 2.187]",0.438436944041856,2.18677356989335,0.892577684121733,1,""
"F","IoTComplex","EXPLN_S1Hardware",-0.413966082995302,0.661023370818482,"[0.285, 1.489]",0.285330818221142,1.48889481098871,0.322406931862159,0.644813863724318,""
"F","IoTComplex","EXPLN_S1Trust",0.157886757940699,1.17103357694509,"[0.476, 2.912]",0.475618456813103,2.91248596085679,0.730126204719894,1,""
"F","IoTComplex","EXPLN_S2Untechnical",-0.609120797307574,0.543828794687478,"[0.262, 1.096]",0.261957569685013,1.09578325946409,0.0932219011182043,0.372887604472817,""
"F","IoTComplex","EXPLN_S3Prevents",0.264299413125259,1.3025181289462,"[0.657, 2.613]",0.657093868239757,2.61301428253905,0.450604016254926,0.757231971171439,""
"F","IoTComplex","combined_IoT_ExperienceTRUE",0.0611960581065299,1.06310732456535,"[0.441, 2.367]",0.441348453216007,2.36668825019726,0.885285009452895,0.885285009452895,""
"F","IoTComplex","combined_CS_ExperienceTRUE",0.32497009968923,1.383989263653,"[0.595, 3.627]",0.595376188209742,3.62708643325627,0.47479157945749,1,""
"G","MedicalSimple","EXPLN_S1Hardware",-0.0854274276805947,0.91811977071772,"[0.481, 1.750]",0.481066191298845,1.75024275788592,0.794896919012611,1,""
"G","MedicalSimple","EXPLN_S1Trust",0.408585789740317,1.50468833404236,"[0.761, 3.020]",0.760853473849889,3.02042622146829,0.243832554143974,0.975330216575898,""
"G","MedicalSimple","EXPLN_S2Untechnical",0.137974697788531,1.14794650432151,"[0.659, 2.009]",0.659382902933006,2.00853175418774,0.626503722121998,1,""
"G","MedicalSimple","EXPLN_S3Prevents",-0.00396052798274836,0.99604730456445,"[0.579, 1.712]",0.579287968293626,1.71199144411788,0.9885469403654,1,""
"G","MedicalSimple","combined_Medical_ExperienceTRUE",0.0233936849872741,1.02366946352917,"[0.549, 1.939]",0.548977760813352,1.93857681040684,0.941823461532482,0.941823461532482,""
"G","MedicalSimple","combined_CS_ExperienceTRUE",0.526562811786867,1.6931027828404,"[0.819, 3.688]",0.819235304226274,3.68823258449639,0.167000771147117,0.501002313441351,""
"G","MedicalComplex","EXPLN_S1Hardware",0.413819025816872,1.51258336357446,"[0.560, 4.153]",0.559962094378307,4.15319898959551,0.412600074416019,1,""
"G","MedicalComplex","EXPLN_S1Trust",0.183842344443877,1.20182633356067,"[0.463, 3.096]",0.463324176159042,3.09589704179815,0.701247785850947,1,""
"G","MedicalComplex","EXPLN_S2Untechnical",-0.486081046534218,0.615031959084826,"[0.265, 1.368]",0.265121472972969,1.36752363348596,0.241350709897224,0.965402839588896,""
"G","MedicalComplex","EXPLN_S3Prevents",0.509562154646233,1.6645622145355,"[0.761, 3.760]",0.760978262999924,3.75973137170293,0.207288335012933,0.82915334005173,""
